Start Time,End Time,First Name,Last Name,Phone,Email,Type,Calendar,Appointment Price,Paid?,Amount Paid Online,Certificate Code,Notes,Date Scheduled,Label,Scheduled By,Date Rescheduled,Appointment ID
"February 2, 2025 10:00","February 2, 2025 11:30",Alexander,Mcdonald,+1-053-222-4832x2538,jeremykirk@gmail.com,Beginner Group Ski Class - Skating,Skating Group Ski Class Sognsvann,807.50,yes,807.50,NORDEA15,,24/01/2025,,a client,,1405544425
"February 2, 2025 12:00","February 2, 2025 13:30",Katherine,Delgado,001-919-126-6669,edavidson@gmail.com,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,20/01/2025,,a client,,1402960225
"February 2, 2025 12:00","February 2, 2025 13:30",Katherine,Delgado,001-919-126-6669,edavidson@gmail.com,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,20/01/2025,,a client,,1402960229
"February 2, 2025 12:00","February 2, 2025 13:30",Christina,Bowman,001-778-548-1701x7712,qlevy@bowman.com,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,24/01/2025,,a client,,1405459243
"February 2, 2025 12:00","February 2, 2025 13:30",Christina,Bowman,001-778-548-1701x7712,qlevy@bowman.com,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,24/01/2025,,a client,,1405459244
"February 2, 2025 12:00","February 2, 2025 13:30",Justin,Mccoy,(437)449-5511x8631,shafferashley@yahoo.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,30/01/2025,,a client,,1409450650
"February 2, 2025 12:00","February 2, 2025 13:30",Justin,Mccoy,(437)449-5511x8631,shafferashley@yahoo.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,30/01/2025,,a client,,1409450652
"February 2, 2025 14:00","February 2, 2025 15:30",Tiffany,Smith,+1-826-667-8162x743,scottbeard@johnson.net,Private ski lesson + 1 set of equipment,Private Ski Class Sognsvann,2149.00,yes,2149.00,,,31/01/2025,,a client,,1409766714
"February 5, 2025 10:00","February 5, 2025 11:30",Laura,Lewis,+1-220-551-7739x20397,schmidtjay@gonzalez.com,"Private ski lesson + +1 extra person on Private , 2 sets of equipment",Private Ski Class Sognsvann,3498.00,yes,3498.00,,,01/02/2025,,a client,,1410590797
"February 7, 2025 18:00","February 7, 2025 19:30",Gabriela,Davis,332.543.8190,megan68@johnson.net,Private ski lesson + +1 extra person on Private,Private Ski Class Sognsvann,2700.00,yes,2700.00,,,05/02/2025,,a client,,1413051987
"February 8, 2025 10:00","February 8, 2025 11:30",Dawn,Kelley,756-380-3102x751,tylersimmons@jackson.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,01/02/2025,,a client,,1410526733
"February 8, 2025 10:00","February 8, 2025 11:30",Dawn,Kelley,756-380-3102x751,tylersimmons@jackson.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,01/02/2025,,a client,,1410526735
"February 8, 2025 10:00","February 8, 2025 11:30",Kathy,Decker,+1-788-571-6304x49695,kevingray@hart.biz,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,03/02/2025,,a client,,1411842671
"February 8, 2025 10:00","February 8, 2025 11:30",Michael,Stone,+1-979-687-4737x7110,pbrown@hotmail.com,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,06/02/2025,,a client,,1413817587
"February 8, 2025 12:00","February 8, 2025 13:30",Bethany,Morris,782-665-3507x931,keith40@scott.info,Nordic Skiing - Authentic Norwegian Experience,Private Ski Class,1499.00,yes,1499.00,,,12/10/2024,,a client,,1348240786
"February 8, 2025 12:00","February 8, 2025 13:30",Denise,Reed,490.896.3956,youngchristopher@little.net,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,11/01/2025,,a client,,1397626427
"February 8, 2025 12:00","February 8, 2025 13:30",Andrew,Jackson,(708)694-0939x380,qrodriguez@gmail.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,21/01/2025,,a client,,1403767536
"February 8, 2025 12:00","February 8, 2025 13:30",Christian,Cardenas,001-741-655-8065x50647,lisahess@lewis.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,21/01/2025,,a client,,1403822684
"February 8, 2025 12:00","February 8, 2025 13:30",Christian,Cardenas,001-741-655-8065x50647,lisahess@lewis.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,21/01/2025,,a client,,1403822693
"February 8, 2025 12:00","February 8, 2025 13:30",Chelsea,Wright,001-069-966-0428x54712,dakotasimpson@hotmail.com,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,26/01/2025,,a client,31/01/2025,1406501958
"February 8, 2025 12:00","February 8, 2025 13:30",Teresa,Davis,593.614.2621,jbell@bradshaw.net,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,06/02/2025,,a client,,1413830084
"February 8, 2025 14:00","February 8, 2025 15:30",Christina,Martinez,001-281-993-5009x832,shawlauren@gmail.com,"Private ski lesson + +1 extra person on Private , 2 sets of equipment",Private Ski Class Sognsvann,3498.00,yes,3498.00,,,22/12/2024,,a client,30/12/2024,1387542009
"February 9, 2025 12:00","February 9, 2025 13:30",Denise,Reed,490.896.3956,youngchristopher@little.net,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,11/01/2025,,a client,,1397627703
"February 9, 2025 12:00","February 9, 2025 13:30",Ryan,Bond,507-068-8062x22866,jessicabarron@roberts-walker.info,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,28/01/2025,,a client,,1407627989
"February 9, 2025 12:00","February 9, 2025 13:30",Danny,Williams,+1-676-292-6302x1374,richard91@peterson.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,30/01/2025,,a client,,1409475689
"February 9, 2025 12:00","February 9, 2025 13:30",Danny,Williams,+1-676-292-6302x1374,richard91@peterson.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,30/01/2025,,a client,,1409475708
"February 9, 2025 12:00","February 9, 2025 13:30",Michael,Morales,2020719251,millermichelle@hotmail.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,02/02/2025,,a client,,1410968268
"February 9, 2025 12:00","February 9, 2025 13:30",Michael,Morales,2020719251,millermichelle@hotmail.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,02/02/2025,,a client,,1410968269
"February 9, 2025 14:00","February 9, 2025 15:30",Kelly,Moore,024.154.4800,misty24@gmail.com,Private ski lesson + 1 set of equipment,Private Ski Class Sognsvann,2149.00,yes,2149.00,,,26/01/2025,,a client,,1406463792
"February 12, 2025 17:00","February 12, 2025 18:30",Alan,Adkins,−5635,howardhannah@hotmail.com,"Private ski lesson + +1 extra person on Private , 2 sets of equipment",Private Ski Class Sognsvann,3498.00,yes,3498.00,,,01/02/2025,,a client,,1410646753
"February 13, 2025 18:00","February 13, 2025 19:30",Mark,Pena,001-489-691-8031x8773,huffmanlucas@yahoo.com,Private ski lesson + +1 extra person on Private,Private Ski Class Sognsvann,2700.00,yes,2700.00,,,19/01/2025,,a client,27/01/2025,1402580868
"February 15, 2025 12:00","February 15, 2025 13:30",Maureen,Roberts,375.758.3426x7032,benjamin14@hotmail.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,08/02/2025,,a client,,1415070864
"February 15, 2025 12:00","February 15, 2025 13:30",Mindy,Shannon,795516391,jeremy98@hotmail.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,09/02/2025,,a client,,1415712223
"February 15, 2025 12:00","February 15, 2025 13:30",Christopher,Baker,1015666460,kristenkeith@hotmail.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,10/02/2025,,a client,,1416000146
"February 15, 2025 12:00","February 15, 2025 13:30",Christopher,Baker,1015666460,kristenkeith@hotmail.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,10/02/2025,,a client,,1416000148
"February 15, 2025 12:00","February 15, 2025 13:30",Joseph,Elliott,001-226-970-1796x220,anthony94@hotmail.com,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,11/02/2025,,a client,,1416692907
"February 15, 2025 12:00","February 15, 2025 13:30",Clayton,Duran,8668201732,warrenaaron@wall.net,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,12/02/2025,,a client,,1417373543
"February 15, 2025 14:00","February 15, 2025 15:30",Jill,Morales,082-261-5003,spencerbrenda@dixon-martin.com,"Nordic Skiing - Authentic Norwegian Experience + +3 extra person for Nordic skiing experience, 1 set of equipment, 3 sets of equipment",Private Ski Class Sognsvann,6396.00,yes,6396.00,,,04/01/2025,,a client,,1393152827
"February 16, 2025 10:00","February 16, 2025 11:30",Tammy,Davis,067.662.7600,qbeasley@george.net,Beginner Group Ski Class - Skating,Skating Group Ski Class Sognsvann,950.00,yes,950.00,,,26/01/2025,,a client,26/01/2025,1406472449
"February 16, 2025 10:00","February 16, 2025 11:30",Tammy,Davis,067.662.7600,qbeasley@george.net,Beginner Group Ski Class - Skating,Skating Group Ski Class Sognsvann,950.00,yes,950.00,,,26/01/2025,,a client,26/01/2025,1406472450
"February 16, 2025 10:00","February 16, 2025 11:30",Elizabeth,Oliver,(636)920-8184x523,bradley81@yahoo.com,"Private ski lesson + +1 extra person on Private , 2 sets of equipment",Private Ski Class Sognsvann,3498.00,no,0.00,,,13/02/2025,,oslo.goski@gmail.com,,1418129980
"February 16, 2025 12:00","February 16, 2025 13:30",James,Guerrero,255.546.8553,ihansen@wang.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,10/02/2025,,a client,,1416312756
"February 16, 2025 12:00","February 16, 2025 13:30",James,Cisneros,018.020.8572,stephaniegillespie@yahoo.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,12/02/2025,,a client,,1417706402
"February 16, 2025 12:00","February 16, 2025 13:30",Kathleen,Harris,056-715-9642x51031,bensonlynn@mills.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,14/02/2025,,a client,,1418884268
"February 16, 2025 12:00","February 16, 2025 13:30",Kathleen,Harris,056-715-9642x51031,bensonlynn@mills.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,14/02/2025,,a client,,1418884269
"February 16, 2025 12:00","February 16, 2025 13:30",Daniel,Cunningham,(408)051-8745x50644,james30@castro.com,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,15/02/2025,,a client,,1419093483
"February 16, 2025 14:00","February 16, 2025 15:30",Cheryl,Baker,361-209-5107x489,dcox@gmail.com,Private ski lesson,Private Ski Class Sognsvann,1750.00,yes,1750.00,,,07/02/2025,,a client,,1414615200
"February 19, 2025 17:00","February 19, 2025 18:30",Nathan,Johns,228.939.3960,ksilva@miller.com,"Private ski lesson + +1 extra person on Private , 2 sets of equipment",Private Ski Class Sognsvann,3498.00,yes,3498.00,,,14/02/2025,,a client,,1418692512
"February 20, 2025 13:00","February 20, 2025 14:30",Amanda,Carter,001-106-841-1456x62656,oreyes@yahoo.com,Private ski lesson,Private Ski Class Sognsvann,1750.00,yes,1750.00,,,19/02/2025,,a client,,1421250532
"February 20, 2025 17:00","February 20, 2025 18:30",Heather,Brown,+1-625-369-8226x409,zrobertson@gmail.com,Private ski lesson,Private Ski Class Sognsvann,1750.00,yes,1750.00,,,19/02/2025,,a client,,1421274053
"February 21, 2025 18:00","February 21, 2025 19:30",Heather,Brown,+1-625-369-8226x409,zrobertson@gmail.com,Private ski lesson,Private Ski Class Sognsvann,1750.00,yes,1750.00,,,19/02/2025,,a client,,1421275317
"February 22, 2025 12:00","February 22, 2025 13:30",James,Richards,904-893-8382x2730,kristine10@yahoo.com,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,12/02/2025,,a client,18/02/2025,1417375178
"February 22, 2025 12:00","February 22, 2025 13:30",Lauren,Patel,(102)939-6805x871,mware@hotmail.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,13/02/2025,,a client,,1418179589
"February 22, 2025 12:00","February 22, 2025 13:30",Lauren,Patel,(102)939-6805x871,mware@hotmail.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,13/02/2025,,a client,,1418179592
"February 22, 2025 12:00","February 22, 2025 13:30",James,Mitchell,001-387-377-6012x502,brittanymartinez@dean.com,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,18/02/2025,,a client,,1420993749
"February 22, 2025 12:00","February 22, 2025 13:30",Walter,Arnold,653.295.0892x2218,pjensen@gaines-guzman.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,21/02/2025,,a client,,1422995490
"February 22, 2025 14:00","February 22, 2025 15:30",Taylor,Smith,001-626-045-2902x0788,mccoymark@hotmail.com,"Private ski lesson + +1 extra person on Private , 2 sets of equipment",Private Ski Class Sognsvann,3498.00,yes,3498.00,,,07/02/2025,,a client,,1414772368
"February 23, 2025 12:00","February 23, 2025 13:30",Mark,Howard,+1-847-337-7833x00148,dannygardner@yahoo.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,02/02/2025,,a client,,1410967953
"February 23, 2025 12:00","February 23, 2025 13:30",Mark,Howard,+1-847-337-7833x00148,dannygardner@yahoo.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,02/02/2025,,a client,,1410967954
"February 23, 2025 12:00","February 23, 2025 13:30",Bridget,Chen,514-169-3028x66913,brandymedina@schmidt.org,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,19/02/2025,,a client,,1421219349
"February 23, 2025 12:00","February 23, 2025 13:30",Patricia,Clark,569-543-2566x34876,qgonzales@lewis-morris.info,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,19/02/2025,,a client,,1421290137
"February 23, 2025 12:00","February 23, 2025 13:30",Brandy,Hale,001-156-639-6515x771,mistyvargas@yahoo.com,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,21/02/2025,,a client,,1422684728
"February 23, 2025 12:00","February 23, 2025 13:30",Grant,Gonzalez,+1-594-790-1924x9929,jonesbradley@gmail.com,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,22/02/2025,,a client,,1423209559
"February 23, 2025 14:00","February 23, 2025 15:30",Carol,Hart,525-287-0065x818,klowery@hotmail.com,Private ski lesson,Private Ski Class Sognsvann,1750.00,yes,1750.00,,,09/02/2025,,a client,,1415537175
